Date,Home_Team,Away_Team,Line,Over_Odds,Under_Odds,URL
2021-09-16,Dinamo Zagreb,West Ham,9.5,1.925,1.875,https://www.totalcorner.com/stats/Dinamo-Zagreb-vs-West-Ham/107233863
2021-09-16,Leicester,Napoli,9.5,1.85,1.95,https://www.totalcorner.com/stats/Leicester-vs-Napoli/107233893
2021-09-16,Rennes,Tottenham,9.0,1.925,1.875,https://www.totalcorner.com/stats/Rennes-vs-Tottenham/107240298
2021-09-15,Man City,RB Leipzig,9.5,2.0,1.8,https://www.totalcorner.com/stats/Man-City-vs-RB-Leipzig/107233273
2021-09-15,Liverpool,AC Milan,10.0,1.9,1.9,https://www.totalcorner.com/stats/Liverpool-vs-AC-Milan/107233283
2021-09-15,Birmingham,Fulham,9.5,1.975,1.825,https://www.totalcorner.com/stats/Birmingham-vs-Fulham/106728517
2021-09-14,Sheff Utd,Preston,9.5,1.85,1.95,https://www.totalcorner.com/stats/Sheff-Utd-vs-Preston/106728509
2021-09-14,Chelsea,Zenit St Petersburg,9.5,1.9,1.9,https://www.totalcorner.com/stats/Chelsea-vs-Zenit-St-Petersburg/107233237
2021-09-14,Young Boys,Man Utd,9.5,1.825,1.975,https://www.totalcorner.com/stats/Young-Boys-vs-Man-Utd/107233219
2021-09-14,West Brom,Derby,10.0,2.0,1.8,https://www.totalcorner.com/stats/West-Brom-vs-Derby/106728515
2021-09-13,Everton,Burnley,11.0,1.975,1.825,https://www.totalcorner.com/stats/Everton-vs-Burnley/106728447
2021-09-12,Leeds,Liverpool,10.5,1.75,2.05,https://www.totalcorner.com/stats/Leeds-vs-Liverpool/106728437
2021-09-11,Sheff Utd,Peterborough,10.0,2.0,1.8,https://www.totalcorner.com/stats/Sheff-Utd-vs-Peterborough/106728479
2021-09-11,Brentford,Brighton,9.5,1.85,1.95,https://www.totalcorner.com/stats/Brentford-vs-Brighton/106728424
2021-09-11,Arsenal,Norwich,10.5,1.975,1.825,https://www.totalcorner.com/stats/Arsenal-vs-Norwich/106728414
2021-09-11,West Brom,Millwall,10.0,2.0,1.8,https://www.totalcorner.com/stats/West-Brom-vs-Millwall/106728489
2021-09-11,Watford,Wolverhampton,9.5,1.8,2.0,https://www.totalcorner.com/stats/Watford-vs-Wolverhampton/106728432
2021-09-11,Stoke,Huddersfield,9.5,2.0,1.8,https://www.totalcorner.com/stats/Stoke-vs-Huddersfield/106728485
2021-09-11,Leicester,Man City,10.0,2.0,1.8,https://www.totalcorner.com/stats/Leicester-vs-Man-City/106728426
2021-09-11,Chelsea,Aston Villa,10.0,1.9,1.9,https://www.totalcorner.com/stats/Chelsea-vs-Aston-Villa/106728434
2021-09-11,Man Utd,Newcastle,10.0,1.8,2.0,https://www.totalcorner.com/stats/Man-Utd-vs-Newcastle/106728428
2021-09-11,Crystal Palace,Tottenham,9.5,1.85,1.95,https://www.totalcorner.com/stats/Crystal-Palace-vs-Tottenham/106728412
2021-09-11,Blackpool,Fulham,10.0,1.825,1.975,https://www.totalcorner.com/stats/Blackpool-vs-Fulham/106728461
2021-09-11,Southampton,West Ham,10.0,1.9,1.9,https://www.totalcorner.com/stats/Southampton-vs-West-Ham/106728430
2021-08-29,Wolverhampton,Man Utd,10.0,2.0,1.8,https://www.totalcorner.com/stats/Wolverhampton-vs-Man-Utd/106426073
2021-08-29,Burnley,Leeds,11.0,1.875,1.925,https://www.totalcorner.com/stats/Burnley-vs-Leeds/106426068
2021-08-29,Tottenham,Watford,10.0,1.9,1.9,https://www.totalcorner.com/stats/Tottenham-vs-Watford/106426070
2021-08-28,Brighton,Everton,10.0,1.85,1.95,https://www.totalcorner.com/stats/Brighton-vs-Everton/106426048
2021-08-28,Fulham,Stoke,9.0,1.85,1.95,https://www.totalcorner.com/stats/Fulham-vs-Stoke/106426083
2021-08-28,Peterborough,West Brom,10.0,1.975,1.825,https://www.totalcorner.com/stats/Peterborough-vs-West-Brom/106426075
2021-08-28,Newcastle,Southampton,10.0,1.875,1.925,https://www.totalcorner.com/stats/Newcastle-vs-Southampton/106426053
2021-08-28,West Ham,Crystal Palace,10.0,1.9,1.9,https://www.totalcorner.com/stats/West-Ham-vs-Crystal-Palace/106426058
2021-08-28,Man City,Arsenal,10.0,1.85,1.95,https://www.totalcorner.com/stats/Man-City-vs-Arsenal/106426037
2021-08-28,Aston Villa,Brentford,9.5,1.9,1.9,https://www.totalcorner.com/stats/Aston-Villa-vs-Brentford/106426039
2021-08-28,Hull,Bournemouth,9.5,1.9,1.9,https://www.totalcorner.com/stats/Hull-vs-Bournemouth/106426087
2021-08-28,Liverpool,Chelsea,10.0,1.925,1.875,https://www.totalcorner.com/stats/Liverpool-vs-Chelsea/106426061
2021-08-28,Norwich,Leicester,10.0,1.9,1.9,https://www.totalcorner.com/stats/Norwich-vs-Leicester/106426056
2021-08-28,Luton,Sheff Utd,10.0,1.85,1.95,https://www.totalcorner.com/stats/Luton-vs-Sheff-Utd/106426097
